maturity_days,strike_over_forward,scenario,fee_bps,rebalance_days,contrast,batch,n_paths,difference
63,0.9,kappa_minus20,10,5,Adjusted_minus_Heston,7,512,-0.16085125517157994
63,0.9,kappa_plus20,0,1,Heston_minus_BS,0,512,0.1347555700371696
63,0.9,kappa_plus20,0,1,Heston_minus_BS,1,512,0.11755725458246517
63,0.9,kappa_plus20,0,1,Heston_minus_BS,2,512,0.12643694485542795
63,0.9,kappa_plus20,0,1,Heston_minus_BS,3,512,0.1522015027015483
63,0.9,kappa_plus20,0,1,Heston_minus_BS,4,512,0.12021010371280053
63,0.9,kappa_plus20,0,1,Heston_minus_BS,5,512,0.11189030758998031
63,0.9,kappa_plus20,0,1,Heston_minus_BS,6,512,0.08450439043144048
63,0.9,kappa_plus20,0,1,Heston_minus_BS,7,512,0.10197491195316244
63,0.9,kappa_plus20,0,1,Adjusted_minus_Heston,0,512,-0.16033791794303048
63,0.9,kappa_plus20,0,1,Adjusted_minus_Heston,1,512,-0.14309145400463716
63,0.9,kappa_plus20,0,1,Adjusted_minus_Heston,2,512,-0.15901786441329738
63,0.9,kappa_plus20,0,1,Adjusted_minus_Heston,3,512,-0.19407232314519657
63,0.9,kappa_plus20,0,1,Adjusted_minus_Heston,4,512,-0.14613032210807084
63,0.9,kappa_plus20,0,1,Adjusted_minus_Heston,5,512,-0.12745927993079992
63,0.9,kappa_plus20,0,1,Adjusted_minus_Heston,6,512,-0.08301277214311673
63,0.9,kappa_plus20,0,1,Adjusted_minus_Heston,7,512,-0.11772003139952741
63,0.9,kappa_plus20,0,5,Heston_minus_BS,0,512,0.16619222122266952
63,0.9,kappa_plus20,0,5,Heston_minus_BS,1,512,0.13760323659449114
63,0.9,kappa_plus20,0,5,Heston_minus_BS,2,512,0.1470585791618879
63,0.9,kappa_plus20,0,5,Heston_minus_BS,3,512,0.1916029278231301
63,0.9,kappa_plus20,0,5,Heston_minus_BS,4,512,0.14169610226221563
63,0.9,kappa_plus20,0,5,Heston_minus_BS,5,512,0.12285604361667476
63,0.9,kappa_plus20,0,5,Heston_minus_BS,6,512,0.08367012322529002
63,0.9,kappa_plus20,0,5,Heston_minus_BS,7,512,0.1328913655983999
63,0.9,kappa_plus20,0,5,Adjusted_minus_Heston,0,512,-0.21335524339946438
63,0.9,kappa_plus20,0,5,Adjusted_minus_Heston,1,512,-0.1674300552849436
63,0.9,kappa_plus20,0,5,Adjusted_minus_Heston,2,512,-0.1882625858819161
63,0.9,kappa_plus20,0,5,Adjusted_minus_Heston,3,512,-0.26031646789747714
63,0.9,kappa_plus20,0,5,Adjusted_minus_Heston,4,512,-0.18026273740917803
63,0.9,kappa_plus20,0,5,Adjusted_minus_Heston,5,512,-0.14366595376292762
63,0.9,kappa_plus20,0,5,Adjusted_minus_Heston,6,512,-0.07793420661690142
63,0.9,kappa_plus20,0,5,Adjusted_minus_Heston,7,512,-0.16141743784110546
63,0.9,kappa_plus20,5,1,Heston_minus_BS,0,512,0.138377236316515
63,0.9,kappa_plus20,5,1,Heston_minus_BS,1,512,0.12173400806934928
63,0.9,kappa_plus20,5,1,Heston_minus_BS,2,512,0.1300555757664949
63,0.9,kappa_plus20,5,1,Heston_minus_BS,3,512,0.15712267948897307
63,0.9,kappa_plus20,5,1,Heston_minus_BS,4,512,0.11713063863916778
63,0.9,kappa_plus20,5,1,Heston_minus_BS,5,512,0.11018624658302785
63,0.9,kappa_plus20,5,1,Heston_minus_BS,6,512,0.07819632600005177
63,0.9,kappa_plus20,5,1,Heston_minus_BS,7,512,0.10166547084029216
63,0.9,kappa_plus20,5,1,Adjusted_minus_Heston,0,512,-0.1639347520095968
63,0.9,kappa_plus20,5,1,Adjusted_minus_Heston,1,512,-0.14736957082715427
63,0.9,kappa_plus20,5,1,Adjusted_minus_Heston,2,512,-0.16197278776225343
63,0.9,kappa_plus20,5,1,Adjusted_minus_Heston,3,512,-0.20014127177694646
63,0.9,kappa_plus20,5,1,Adjusted_minus_Heston,4,512,-0.13796579073257761
63,0.9,kappa_plus20,5,1,Adjusted_minus_Heston,5,512,-0.12181454132839695
63,0.9,kappa_plus20,5,1,Adjusted_minus_Heston,6,512,-0.06979107374046481
63,0.9,kappa_plus20,5,1,Adjusted_minus_Heston,7,512,-0.11414004236236391
63,0.9,kappa_plus20,5,5,Heston_minus_BS,0,512,0.16117658753142045
63,0.9,kappa_plus20,5,5,Heston_minus_BS,1,512,0.1341240562916313
63,0.9,kappa_plus20,5,5,Heston_minus_BS,2,512,0.14190555853183234
63,0.9,kappa_plus20,5,5,Heston_minus_BS,3,512,0.18742865002292963
63,0.9,kappa_plus20,5,5,Heston_minus_BS,4,512,0.13243820455855082
63,0.9,kappa_plus20,5,5,Heston_minus_BS,5,512,0.11467578277068258
63,0.9,kappa_plus20,5,5,Heston_minus_BS,6,512,0.07153408864004623
63,0.9,kappa_plus20,5,5,Heston_minus_BS,7,512,0.12557891008277894
63,0.9,kappa_plus20,5,5,Adjusted_minus_Heston,0,512,-0.2028437547365041
63,0.9,kappa_plus20,5,5,Adjusted_minus_Heston,1,512,-0.15915466322407473
63,0.9,kappa_plus20,5,5,Adjusted_minus_Heston,2,512,-0.17679586984458873
63,0.9,kappa_plus20,5,5,Adjusted_minus_Heston,3,512,-0.25098193980353245
63,0.9,kappa_plus20,5,5,Adjusted_minus_Heston,4,512,-0.1620202622158364
63,0.9,kappa_plus20,5,5,Adjusted_minus_Heston,5,512,-0.12713358699661897
63,0.9,kappa_plus20,5,5,Adjusted_minus_Heston,6,512,-0.054990661361894545
63,0.9,kappa_plus20,5,5,Adjusted_minus_Heston,7,512,-0.14625106324754378
63,0.9,kappa_plus20,10,1,Heston_minus_BS,0,512,0.14025545912197138
63,0.9,kappa_plus20,10,1,Heston_minus_BS,1,512,0.1240374076232176
63,0.9,kappa_plus20,10,1,Heston_minus_BS,2,512,0.13187137463285029
63,0.9,kappa_plus20,10,1,Heston_minus_BS,3,512,0.16031657848574954
63,0.9,kappa_plus20,10,1,Heston_minus_BS,4,512,0.11207441657195576
63,0.9,kappa_plus20,10,1,Heston_minus_BS,5,512,0.10673419764089949
63,0.9,kappa_plus20,10,1,Heston_minus_BS,6,512,0.06998288254711985
