maturity_days,strike_over_forward,scenario,fee_bps,rebalance_days,contrast,difference,se,ci95_low,ci95_high,sim95_low,sim95_high,n_paths,first_half_difference,refinement_shift,refinement_se,refinement_margin,expanded_low,expanded_high,supported_sign
63,0.9,theta_minus20,10,1,Heston_minus_BS,0.1624320226436774,0.0099900313203551,0.1428461320523085,0.1820179132350462,0.1229007823024102,0.2019632629849445,4096,0.1872166342482567,-0.0008175171352269219,0.0007640974023050059,0.0023151480437447335,0.12058563425866546,0.20427841102868924,positive
63,0.9,theta_minus20,10,1,Adjusted_minus_Heston,-0.1788254473406152,0.0146590767581812,-0.2075652044393956,-0.1500856902418349,-0.2368324212855321,-0.1208184733956984,4096,-0.2167726306884659,0.0011354832072147363,0.0011236921164940279,0.003337919755543031,-0.24017034104107515,-0.11748055364015537,negative
63,0.9,theta_minus20,10,5,Heston_minus_BS,0.1766490348685475,0.0154011645436243,0.1464543824137071,0.2068436873233879,0.1157055685684069,0.2375925011686881,4096,0.2056116498305983,-0.0005559480808716902,0.0010720043412721831,0.002657076589765169,0.11304849197864172,0.24024957775845326,positive
63,0.9,theta_minus20,10,5,Adjusted_minus_Heston,-0.1951927652148545,0.0233031912020613,-0.2408796843722906,-0.1495058460574184,-0.2874050939440138,-0.1029804364856953,4096,-0.2403212433824358,0.0006754347187704856,0.0016193584153933816,0.0038493772129415136,-0.29125447115695535,-0.09913105927275379,negative
63,0.9,theta_plus20,0,1,Heston_minus_BS,0.1089043330324123,0.007106406816004,0.0949719136102212,0.1228367524546033,0.0807837929862687,0.1370248730785558,4096,0.1228034750730842,-0.0005259834135727478,0.0005288318862120061,0.0015624939105482799,0.07922129907572042,0.13858736698910407,positive
63,0.9,theta_plus20,0,1,Adjusted_minus_Heston,-0.1236608898575919,0.0123710546916004,-0.1479148802525801,-0.0994068994626037,-0.172614003276983,-0.0747077764382008,4096,-0.1466234756542188,0.0010039601564175227,0.001059248921088971,0.0030800880417519057,-0.17569409131873492,-0.0716276883964489,negative
63,0.9,theta_plus20,0,5,Heston_minus_BS,0.1272303717760288,0.0117701115779977,0.1041545564735126,0.1503061870785449,0.0806552315474576,0.1738055120045999,4096,0.1471667483546515,-0.00030614313183315733,0.0007698222793530624,0.0018149947993651595,0.07884023674809244,0.17562050680396507,positive
63,0.9,theta_plus20,0,5,Adjusted_minus_Heston,-0.1553313943918834,0.021053936029578,-0.1966085510262966,-0.1140542377574703,-0.2386432658591015,-0.0720195229246654,4096,-0.1890304561206458,0.0006973511763560671,0.0015854791600816939,0.003804890330116187,-0.2424481561892177,-0.06821463259454921,negative
63,0.9,theta_plus20,5,1,Heston_minus_BS,0.108525207612887,0.0076058432039613,0.0936136214455479,0.1234367937802261,0.0784283634637438,0.1386220517620301,4096,0.1255599011134203,-0.0005130956566618744,0.0005364016435518086,0.0015644428780234193,0.07686392058572038,0.14018649464005353,positive
63,0.9,theta_plus20,5,1,Adjusted_minus_Heston,-0.1215794527173748,0.0130618925890882,-0.1471878608356587,-0.0959710445990909,-0.1732662591640142,-0.0698926462707353,4096,-0.1506543475046603,0.0009677557344942749,0.0010580786065019592,0.003041589803238115,-0.17630784896725232,-0.06685105646749719,negative
