maturity_days,strike_over_forward,scenario,fee_bps,rebalance_days,strategy,coarse_mse,fine_mse,mse_refinement_shift,mse_refinement_se
63,0.9,rho_plus10pp,10,1,Adjusted,0.5728179667480137,0.5735351036697334,0.0007171369217196557,0.001467755041549347
63,0.9,rho_plus10pp,10,5,BS,0.8972498198377674,0.898541170606362,0.0012913507685946078,0.0031830168269453485
63,0.9,rho_plus10pp,10,5,Heston,0.9734392841624739,0.9743276279269162,0.0008883437644421628,0.003045322378139778
63,0.9,rho_plus10pp,10,5,Adjusted,0.9067265411518614,0.9081752516283774,0.0014487104765161037,0.0033924526728874643
63,1.0,reference,0,1,BS,1.3280799192114279,1.3337919725429406,0.005712053331512562,0.0027687675057309694
63,1.0,reference,0,1,Heston,1.6694334177322716,1.6767357778256606,0.007302360093389049,0.0029931073206754897
63,1.0,reference,0,1,Adjusted,1.2320859184574897,1.235889130710532,0.00380321225304243,0.002744141808974565
63,1.0,reference,0,5,BS,1.9785782483766825,1.98236351619523,0.0037852678185474583,0.004641523330873751
63,1.0,reference,0,5,Heston,2.3658175999639406,2.3698490035662783,0.004031403602337828,0.0047014159873253105
63,1.0,reference,0,5,Adjusted,1.8574489591828462,1.8603164127993093,0.002867453616462885,0.004782449538215391
63,1.0,reference,5,1,BS,1.2446500711241508,1.2511928797048772,0.006542808580726439,0.002677207193953157
63,1.0,reference,5,1,Heston,1.5616908698895344,1.5700494845811388,0.008358614691604493,0.0029289624689169506
63,1.0,reference,5,1,Adjusted,1.1803166004460193,1.1848089201697958,0.0044923197237764344,0.0026713613920303775
63,1.0,reference,5,5,BS,1.9052863902685102,1.9086614638260644,0.0033750735575541497,0.004622311666597925
63,1.0,reference,5,5,Heston,2.268109377625355,2.271840615562227,0.003731237936871946,0.004684184424945211
63,1.0,reference,5,5,Adjusted,1.8108090183001586,1.8132053698901895,0.002396351590030701,0.00478528003580103
63,1.0,reference,10,1,BS,1.2288315907388903,1.2363105103024123,0.0074789195635220265,0.00268860699094163
63,1.0,reference,10,1,Heston,1.523640416586339,1.5331626586450033,0.009522242058664207,0.002963880695299402
63,1.0,reference,10,1,Adjusted,1.1956545328061425,1.2009446745870076,0.00529014178086498,0.0027003427285297267
63,1.0,reference,10,5,BS,1.8584828108882219,1.8614810130328658,0.002998202144644173,0.00464314198598499
63,1.0,reference,10,5,Heston,2.1979762352806924,2.2014409288999657,0.0034646936192731133,0.004710197645001047
63,1.0,reference,10,5,Adjusted,1.7900826412730155,1.792039501737038,0.0019568604640224758,0.004825051626870344
63,1.0,kappa_minus20,0,1,BS,1.3280799192114279,1.3337919725429406,0.005712053331512562,0.0027687675057309694
63,1.0,kappa_minus20,0,1,Heston,1.694015553739689,1.7013929489451072,0.0073773952054182555,0.003018416315610988
63,1.0,kappa_minus20,0,1,Adjusted,1.2313934366699502,1.23507827740225,0.003684840732299846,0.0027273599512057413
